"CZAS";"NO2 Dwutlenek azotu  [µg/m3]";"NOx Tlenki azotu  [µg/m3]";"NO Tlenek azotu  [µg/m3]";"CO Tlenek węgla  [µg/m3]";"CO Tlenek węgla 8h poz. dop.: 10000 [µg/m3]";"C6H6 Benzen  [µg/m3]";"PM10 Pył zawieszony PM10 poz. dop.: 50 [µg/m3]";"PM2.5 Pył zawieszony PM2.5  [µg/m3]"
"01.12";"42";"107";"42";"408";"769";"-";"21";"14"
"02.12";"63";"241";"117";"832";"1295";"-";"52";"40"
"03.12";"73";"395";"211";"1368";"2112";"-";"126";"86"
"04.12";"71";"415";"225";"1784";"2385";"-";"172";"111"
"05.12";"54";"210";"102";"915";"1280";"-";"74";"53"
"06.12";"60";"238";"117";"1142";"1341";"-";"84";"63"
"07.12";"65";"299";"153";"1127";"1369";"-";"79";"54"
"08.12";"56";"310";"166";"1166";"1360";"-";"113";"77"
"09.12";"47";"237";"124";"982";"1341";"-";"82";"56"
"10.12";"78";"374";"194";"1235";"2325";"-";"103";"63"
"11.12";"71";"382";"202";"1695";"2465";"-";"153";"111"
"12.12";"46";"161";"75";"736";"1148";"-";"54";"38"
"13.12";"40";"142";"66";"755";"1372";"-";"54";"43"
"14.12";"76";"358";"184";"1110";"2161";"-";"87";"55"
"15.12";"73";"436";"238";"2104";"2395";"-";"198";"147"
"16.12";"55";"303";"163";"1202";"1811";"-";"114";"78"
"17.12";"52";"273";"145";"1335";"1674";"-";"117";"79"
"18.12";"51";"260";"136";"1071";"1419";"-";"57";"43"
"19.12";"53";"260";"135";"1294";"1707";"-";"92";"61"
"20.12";"41";"195";"101";"1362";"1874";"-";"126";"79"
"21.12";"55";"258";"132";"1164";"1900";"-";"70";"54"
"22.12";"57";"188";"85";"747";"1025";"-";"46";"25"
"23.12";"63";"272";"136";"867";"1508";"-";"49";"30"
"24.12";"58";"338";"183";"1508";"2225";"-";"107";"79"
"25.12";"35";"146";"72";"1349";"2335";"-";"115";"92"
"26.12";"30";"72";"28";"536";"1129";"-";"34";"26"
"27.12";"61";"223";"106";"946";"1593";"-";"56";"40"
"28.12";"50";"170";"79";"719";"1584";"-";"63";"43"
"29.12";"47";"160";"74";"601";"699";"-";"49";"34"
"30.12";"49";"146";"64";"626";"746";"-";"58";"44"
"31.12";"67";"321";"166";"1459";"2567";"-";"126";"94"
